Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
165,2025-04-20,2872,SBLD2082,10.50% SBL Debenture 2082,1060,1060,1060,1060,25,26500,1060.8,1259.5,1025.1,2025-04-20T14:43:14.698084,1060,1,1060,2292.31
166,2025-04-20,2877,SFMF,Sunrise First Mutual Fund,10.15,10.15,10.11,10.11,5100,51565,10.12,11.99,9.22,2025-04-20T14:33:39.683645,10.11,2,10.11,869.46
167,2025-04-20,2880,HDHPC,Himal Dolakha Hydropower Company Limited,203,207.9,202.1,203.04,101226,20631038.8,207.13,273,123.3,2025-04-20T14:59:52.763708,203.9,341,203.81,5685.12
168,2025-04-20,2896,SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,1005.1,1033,990,991.2,12124,12128870.4,1015.7,1470.8,687,2025-04-20T14:59:20.220562,992,132,1000.4,6946.91
169,2025-04-20,2902,LUK,Laxmi Unnati Kosh,9.43,9.61,9.43,9.57,12580,120319.8,9.62,10.22,8.16,2025-04-20T14:47:56.471758,9.57,6,9.56,624.56
170,2025-04-20,2913,MEN,Mountain Energy Nepal Limited,591,599,583,584.33,27555,16248531.9,591.11,809.5,500.8,2025-04-20T14:59:59.45795,584,191,589.67,15208.45
171,2025-04-20,2917,CGH,Chandragiri Hills Limited,870,880,870,873.17,15234,13333896.3,874.02,1360,760,2025-04-20T14:59:32.426157,873.1,143,875.27,13395.22
172,2025-04-20,2919,NIFRA,Nepal Infrastructure Bank Limited,302,318,301.9,305.86,1245817,386221866.8,303.35,366.6,188.1,2025-04-20T14:59:59.668144,307,3634,310.01,66065.76
173,2025-04-20,2933,KEF,Kumari Equity Fund,9,9,8.82,8.96,13050,116675.11,9.16,10.76,7.85,2025-04-20T14:47:36.345619,8.96,23,8.94,896
174,2025-04-20,2934,SHEL,Singati Hydro Energy Limited,261,262.9,251.1,252.8,167090,42559343.8,260.33,334.4,143.1,2025-04-20T14:59:59.816014,253,433,254.7,7331.2
175,2025-04-20,2935,RURU,Ru Ru Jalbidhyut Pariyojana Limited,749,754.5,730,737.96,10839,8055861.7,740.95,926.8,484.9,2025-04-20T14:59:14.575237,737.2,101,743.22,4186.61
176,2025-04-20,2937,SBCF,Sunrise Bluechip Fund,9.36,9.36,9.2,9.26,17330,160666.6,9.36,10.04,7.36,2025-04-20T14:59:27.355205,9.26,12,9.27,1157.5
177,2025-04-20,4949,NIBSF2,NIBL Samriddhi Fund -2,8.36,8.44,8.36,8.44,8100,67784,8.44,9.6,7.4,2025-04-20T14:37:16.621611,8.44,8,8.36,1266
178,2025-04-20,4950,JBLBP,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd Promoter,100,100,100,100,20450,10863250,100,100,100,2025-04-20T14:49:56.655692,100,19,531.21,608.4
179,2025-04-20,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1320.1,1357,1320.1,1329.64,2788,3724590.7,1331.59,1920,1270,2025-04-20T14:59:54.246791,1332.4,126,1335.93,20425.55
180,2025-04-20,4959,NBLD87,8.5% Nepal Bank Debenture 2087,1066,1076.1,1066,1075,624,667250.5,1055,1076.1,916,2025-04-20T14:58:34.035071,1075,11,1069.31,3762.5
181,2025-04-20,4967,NICSF,NIC Asia Select Fund 30,9.09,9.22,9,9.1,13520,123639,9.09,11.45,8.31,2025-04-20T14:59:55.239511,9.1,15,9.14,1137.5
182,2025-04-20,4968,RMF1,RBB Mutual Fund 1,9.5,9.63,9.5,9.53,371125,3563978.9,9.45,10.19,7.46,2025-04-20T14:55:43.693134,9.53,17,9.6,1191.25
183,2025-04-20,4969,MND84/85,Muktinath Debenture 2084/85,1076,1080,1076,1080,318,343330.7,1072.9,1091.4,950.9,2025-04-20T14:59:32.813715,1080,4,1079.65,1350
184,2025-04-20,5982,SRLI,Sanima Reliance Life Insurance Limited,410.3,423,410.3,415.97,28436,11886724.2,418.67,654,403.1,2025-04-20T14:59:53.557589,417.5,350,418.01,20860.58
185,2025-04-20,6984,PBD85,8.75 % Prime Debenture 2085,1042,1076,1042,1074.8,111,119291.8,1042,1080,970,2025-04-20T14:52:40.190237,1076,3,1074.7,2631.07
186,2025-04-20,6985,SDBD87,Shangri-la Development Bank Debenture 2087,1103.5,1120,1103.5,1114,921,1021341,1082,1120,947,2025-04-20T12:41:51.671204,1114,9,1108.94,835.5
187,2025-04-20,7985,MBLD87,8.5% Machhapuchchhre Debenture 2087,1046,1054.1,1046,1054.1,13,13700.3,1046,1080,931,2025-04-20T14:51:20.586573,1054.1,2,1053.86,2375.41
188,2025-04-20,8004,GBILD86/87,Global IME Bank Limited Debenture 2086/87,1056,1089,1056,1070.1,88,95619.2,1056,1089,935.5,2025-04-20T14:49:02.192968,1070.1,3,1086.58,3210.3
189,2025-04-20,8018,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,1801.9,1801.9,1735.3,1750.26,350,610866,1769.5,2530,1130,2025-04-20T14:59:26.079104,1760,19,1745.33,1914.35
